State,District,RMNCH,NCD,FRP,UHC_Index,UHC_Tercile,SCA,Infectious_Diseases,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,UHC_District,UHC_Poorest20,UHC_Rural,UHC_ReligMin,UHC_SCST,Service_Coverage,FRP_D,UHC_Index_D,Region,UHC_Gap,SCA_FRP_Gap,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,HC_Cluster,KM_Cluster
Assam,Cachar,44.76,6.42,78.43,37.25,Low UHC,49.05,64.86,0.3861268234593629,0.06438815990234972,0.753595132743363,0.25197766402978117,0.47598989048020207,0.6294382022471909,37.25,29.93,36.16,36.39,37.72,30.92,78.43,37.25,Northeast,62.75,-47.51,7.32,1.09,-0.47,0.86,1.0,1.0
Assam,Hailakandi,52.79,4.82,83.96,37.02,Low UHC,51.33,63.4,0.5056564453706459,0.015563014952700654,0.8300608407079646,0.24662633783154952,0.5034300156456852,0.6130337078651684,37.02,33.23,36.61,36.18,37.7,30.16,83.96,37.02,Northeast,62.98,-53.8,3.79,0.41,-0.68,0.84,1.0,1.0
Assam,Darrang,44.75,6.78,83.9,40.01,Low UHC,49.38,81.52,0.3859779696338196,0.07537381751602076,0.8292311946902657,0.316193578408562,0.4799614875436274,0.816629213483146,40.01,37.06,39.98,39.02,40.74,33.24,83.9,40.01,Northeast,59.99,-50.66,2.95,0.03,-0.73,0.99,1.0,1.0
Assam,Dibrugarh,58.52,8.68,78.05,45.9,Medium UHC,59.57,86.3,0.5909496874069664,0.133353677143729,0.7483407079646018,0.4532340623545834,0.6025995908051509,0.8703370786516853,45.9,36.95,46.51,49.09,46.59,40.19,78.05,45.9,Northeast,54.1,-37.86,8.95,-0.61,-0.69,-3.19,1.0,0.0
Assam,Sivasagar,55.73,5.91,75.91,40.94,Low UHC,53.57,85.87,0.549419470080381,0.04882514494964907,0.71875,0.3378315495579338,0.5303887351065111,0.8655056179775281,40.94,28.11,41.61,44.43,38.87,35.09,75.91,40.94,Northeast,59.06,-40.82,12.83,-0.67,2.07,-3.49,1.0,0.0
Assam,Kamrup,42.47,9.96,72.31,41.46,Medium UHC,49.23,81.34,0.35203929740994333,0.17241379310344832,0.6689712389380531,0.3499302000930665,0.4781562161511613,0.8146067415730337,41.46,36.65,40.91,37.51,40.09,36.07,72.31,41.46,Northeast,58.54,-36.24,4.81,0.55,1.37,3.95,1.0,1.0
Assam,Biswanath,59.07,10.2,88.4,44.78,Medium UHC,42.74,79.1,0.5991366478118487,0.17973756484589562,0.8914546460176993,0.4271754304327593,0.4000481405704657,0.7894382022471909,44.78,37.62,44.52,45.62,44.95,37.78,88.4,44.78,Northeast,55.22,-50.62,7.16,0.26,-0.17,-0.84,1.0,0.0
Assam,Kokrajhar,48.45,6.61,73.81,37.13,Low UHC,37.31,80.01,0.44105388508484666,0.07018614586512056,0.689712389380531,0.249185667752443,0.33469731616319653,0.7996629213483146,37.13,31.86,37.14,36.81,37.58,31.27,73.81,37.13,Northeast,62.87,-42.54,5.27,-0.01,-0.45,0.32,1.0,1.0
Assam,Nalbari,52.0,13.26,74.25,45.02,Medium UHC,43.23,83.61,0.49389699315272395,0.2731156545620995,0.6957964601769913,0.4327594229874361,0.40594536045252133,0.8401123595505617,45.02,43.47,44.75,43.75,42.67,39.73,74.25,45.02,Northeast,54.98,-34.52,1.55,0.27,2.35,1.27,1.0,1.0
Assam,Udalguri,36.24,7.28,88.46,38.95,Low UHC,46.67,82.26,0.25930336409645727,0.0906316753127861,0.8922842920353982,0.2915309446254072,0.44734625105307496,0.8249438202247191,38.95,36.16,39.2,39.56,39.53,31.73,88.46,38.95,Northeast,61.05,-56.73,2.79,-0.25,-0.58,-0.61,1.0,1.0
Assam,Nagaon,48.73,5.84,82.68,40.52,Low UHC,55.46,83.67,0.4452217922000594,0.046689044858101936,0.812361725663717,0.3280595625872499,0.5531351546515826,0.8407865168539326,40.52,35.79,41.14,39.9,41.06,33.9,82.68,40.52,Northeast,59.48,-48.78,4.73,-0.62,-0.54,0.62,1.0,0.0
Assam,Golaghat,54.54,5.08,91.49,39.45,Low UHC,45.52,82.8,0.5317058648407263,0.023497101007018628,0.9341814159292037,0.30316426244765005,0.43350583704416895,0.8310112359550561,39.45,34.34,39.47,26.99,38.84,31.97,91.49,39.45,Northeast,60.55,-59.52,5.11,-0.02,0.61,12.46,1.0,0.0
Assam,Dhemaji,46.06,5.98,89.66,40.41,Low UHC,53.94,81.0,0.40547782077999406,0.05096124504119623,0.9088772123893807,0.3255002326663563,0.5348417378745938,0.8107865168539325,40.41,39.55,40.31,38.559999999999995,39.62,33.12,89.66,40.41,Northeast,59.59,-56.54,0.86,0.1,0.79,1.85,1.0,0.0
Assam,Baksa,53.63,6.83,84.74,26.42,Low UHC,46.93,8.84,0.5181601667162846,0.07689960329569728,0.8408462389380531,0.0,0.45047538813334936,0.0,26.42,25.15,26.4,24.31,27.12,19.75,84.74,26.42,Northeast,73.58,-64.99,1.27,0.02,-0.7,2.11,1.0,1.0
Assam,Jorhat,49.98,8.35,82.36,42.16,Medium UHC,46.74,82.83,0.46382852039297395,0.12328349099786393,0.8079369469026549,0.3662168450442065,0.44818871103622576,0.8313483146067415,42.16,37.64,42.3,45.62,40.47,35.66,82.36,42.16,Northeast,57.84,-46.7,4.52,-0.14,1.69,-3.46,1.0,1.0
Assam,Goalpara,55.0,6.6,85.29,44.21,Medium UHC,66.43,82.2,0.5385531408157189,0.06988098870918522,0.8484513274336285,0.41391344811540254,0.6851606691539296,0.8242696629213483,44.21,39.24,44.83,43.67,41.82,37.52,85.29,44.21,Northeast,55.79,-47.77,4.97,-0.62,2.39,0.54,1.0,0.0
